user_name,comment_text,like_count,publish_time
良小明,"承蒙大家关照！！！
这一期视频真的做了很久如果可以的话求求三连，这对我来说真的很重要
下一次更新手入坑可能是丝之歌也可能是饥荒，可能会在更新手入坑的图中穿插一些游戏的二创，如果有什么希望小明做的可以私信或者评论小明~
如果刚好缺一个心仪的手柄可以看看这个八位堂的新手柄~
 https://b23.tv/mall-e5Eok-748Ub",296,2025-08-30 20:01:17
终末小鸟,回复 @黑暗盖迪 :我不清楚，但是可以和非人类生物同居[吃瓜],8,2025-09-14 18:36:03
黑暗盖迪,男主能跟男NPC结婚吗[doge],1,2025-09-14 09:06:14
撑天之树,饥荒入坑不难的，我玩了1000小时了,0,2025-10-02 20:10:33
Bright_Starr_Sky,今天省了一些生活费给妈妈买了很多很好吃的面包，但是不小心整丢了，老乡们可以安慰一下我吗[大哭],651,2025-09-12 23:08:55
rgwtbte,[拥抱][拥抱],3,2025-09-13 00:08:27
良小明,[拥抱][拥抱][拥抱],13,2025-09-30 19:50:50
头痛的铁憨憨,老乡 你不小心弄丢的小面包帮助到了很多流浪小动物哟，我替他们谢谢你哦！[拥抱],1,2025-11-03 07:40:14
虎der本der,这游戏我刚入坑，开局到底要干啥[笑哭]就种完地浇完水就睡，反正也没钱，菜熟了就收一波卖了换种子再种，已经20天了一直循环,926,2025-09-02 11:12:23
填财666,开局就是钓鱼赚钱，因为种作物太慢了，不过新手钓鱼应该会被劝退[笑哭]有钱了就买高价值作物去酿酒或者买畜鹏养动物，等作物的时间就去挖矿做洒水器,444,2025-09-02 12:57:37
肉腐HM,回复 @填财666 :我反而是钓鱼上瘾了哈哈,15,2025-09-05 13:08:43
